   name1,name2,street1,street2,city,state,zip,zip4,county,phone,intake_prompt,intake1,intake2,website,latitude,longitude,type_facility,last_update,mh,psy,rtcc,rtca,ores,ph,omh,cmhc,msnh,ipt,cft,gt,cbt,dbt,bmt,idd,tt,at,ect,ptm,tele,smon,smpd,smop,hi,res,phdt,op,pvt,vamc,sma,osg,lmg,tbg,ih,sf,md,mc,si,pi,mi,smha,swfs,scjj,sef,osf,clf,csbg,cmhg,vaf,cit,wi,ss,pa,ah,sp,nx,fx,co,gl,vet,adm,mf,cj,se,hv,trma,sed,smi,alz,ptsd,tbi,tay,ped,act,icm,cm,cdm,peer,coot,dec,es,fpsy,hs,imr,ipc,lad,nrt,nsc,prs,stu,sps,semp,sh,tpc,tcc,vrs,chld,yad,adlt,snr,itu,pvtp,pvtn,fqhc,vo,f17,f19,f25,f28,f30,f31,f35,f36,f37,f4,f42,f43,f47,f66,f67,f70,f81,f92,n13,n18,n23,n24,n40 
Family Life Services,Diakon Lutheran Social Ministries,435 West 4th Street,,Williamsport,PA,17701,,Lycoming,570-322-7873,,,,http://,41.240031,-77.009072,MH,2017-02-27 11:25:37,1,,,,,,1,,,1,1,1,1,1,1,1,1,,,1,,1,,,,,,1,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,1,1,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Crossroads Counseling Inc,,501 East 3rd Street,,Williamsport,PA,17701,,Lycoming,800-887-2720,,570-323-7535,,http://www.crossroadscounselinginc.com,41.2447688,-76.9939623,MH,2018-09-05 11:04:42.73,1,,,,,,1,,,1,1,1,1,1,1,1,1,,,1,1,,1,,,,,1,,,,,,,,1,1,,,1,,1,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,1,1,,,,,,1,,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Services Group,,1000 Commerce Park Drive,Water Tower Square,Williamsport,PA,17701,,Lycoming,877-907-7970,,,,http://www.csgonline.org,41.244998,-76.985364,MH,2017-02-27 11:25:37,1,,,,,,,,1,1,1,1,1,1,1,1,1,,,1,1,,1,,,,1,1,,,,,,,,1,1,1,1,1,1,1,1,1,,,1,,1,,,1,,,,,,,,,,,,,,,1,,1,,1,,1,,,,,,1,,,,,1,,1,,,,1,,,,1,,,,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Divine Providence Hospital,UPMC Susquehanna BH/Inpatient Unit,1100 Grampian Boulevard,,Williamsport,PA,17701,,Lycoming,570-326-8295,,888-882-2340,,http://,41.2600877,-76.9848418,MH,2018-05-30 09:39:39.473,1,1,,,,,,,,1,1,1,1,1,1,,,1,1,1,,1,,,1,,,,,,,,,,,1,1,1,,1,1,,,,,,,,,,1,,,,1,1,,,,,,,,,1,,,,1,,,,,,,,,,,,1,,1,,,1,,1,1,,1,,,,,1,,,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Wilkes Barre VAMC,Wiiliamsport Outpatient Clinic,1705 Warren Avenue,Suite 304,Williamsport,PA,17701,2665,Lycoming,570-322-4791,,570-322-4971,,http://,41.2600354,-76.9820377,MH,2018-03-07 17:17:21.274,1,,,,,,,,,1,,,1,,,1,1,,,1,1,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1,1,1,,,1,1,1,1,,1,1,1,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossroads Counseling Inc,Clinton County Office,8 North Grove Street,,Lock Haven,PA,17745,,Clinton,570-893-1886,,,,http://www.crossroadscounselinginc.com,41.13393,-77.443585,MH,2017-02-27 11:25:37,1,,,,,,1,,,1,1,1,1,1,1,1,1,,,1,1,1,,,,,1,1,,,,,,,,1,1,,1,1,,1,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,1,1,1,,,,,1,,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Family Life Services/Lewisburg,,1800 Market Street,,Lewisburg,PA,17837,,Union,570-524-9477,,,,http://,40.958719,-76.902692,MH,2017-02-27 11:25:37,1,,,,,,1,,,1,1,,1,,1,,1,,,1,,1,,,,,,1,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,1,,,,,,,1,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
CONCERN Professional Services,,60 North 8th Street,,Lewisburg,PA,17837,,Union,570-523-1297,,,,http://www.concern4kids.org,40.9625718,-76.8913497,MH,2018-05-14 12:09:25.264,1,,,,,,1,,,,,,1,,1,,,1,,,,,1,,,,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keystone Human Services,Mental Health,1155 North 4th Street,,Sunbury,PA,17801,1221,Northumberland,570-286-1757,,,,http://www.keystonehumanservices.org,40.877075,-76.7826445,MH,2017-02-27 11:25:37,1,,,,,,1,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,1,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Services Group,Acute Partial Hospitalization,330 North 2nd Street,Suite A,Sunbury,PA,17801,,Northumberland,570-286-0111 x30003,Intakes,570-286-0111,877-907-7970,http://csgonline.org,40.866381,-76.7922609,MH,2018-07-25 10:15:17.901,1,,,,,1,,,,,,1,1,1,1,,1,1,,1,1,,1,,,,1,1,,,,,,,,1,1,,1,1,,1,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,1,1,,,,,,,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Northumberland County,BH/IDS Programs,217 North Center Street,,Sunbury,PA,17801,,Northumberland,570-495-2007,,570-495-2040,,http://,40.865382,-76.7923424,MH,2017-02-27 11:25:37,1,,,,,,,1,,1,,,,,,,,,,1,,,1,,,,,1,,,,,1,,,1,1,,,,,,,,,,,,,,1,1,,1,,1,,,,,,,,,,,,,,,,,1,,,1,1,,,1,1,1,,1,,,,1,,,1,,,1,,1,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
