county,countycode,ODrate2016,%changeinDrugDeaths1516,UrbanRuralDEA
Adams,1,27.6,3.00,rural
Allegheny,2,52.9,0.53,urban
Armstrong,3,59.5,0.52,rural
Beaver,4,59.8,1.76,urban
Bedford,5,22.1,0.83,rural
Berks,6,28.4,0.70,urban
Blair,7,33.8,0.95,rural
Bradford,8,27.1,0.06,rural
Bucks,9,26.9,0.44,urban
Butler,10,40.2,0.57,rural
Cambria,11,65.4,0.62,rural
Cameron,12,,,rural
Carbon,13,26.1,-0.06,rural
Centre,14,13,0.33,rural
Chester,15,19.4,0.54,urban
Clarion,16,17.5,0.75,rural
Clearfield,17,13.5,-0.15,rural
Clinton,18,25.5,1.50,rural
Columbia,19,26.7,0.13,rural
Crawford,20,36.1,0.14,rural
Cumberland,21,24.6,0.41,urban
Dauphin,22,31.3,0.02,urban
Delaware,23,36.9,0.02,urban
Elk,24,9.4,0.00,rural
Erie,25,32.1,0.32,urban
Fayette,26,43.9,0.46,rural
Forest,27,,,rural
Franklin,28,26.1,0.86,rural
Fulton,29,74.1,2.67,rural
Greene,30,49.1,0.36,rural
Huntingdon,31,15.2,-0.13,rural
Indiana,32,50.6,0.29,rural
Jefferson,33,15.5,-0.13,rural
Juniata,34,16.2,3.00,rural
Lackawanna,35,39.2,0.20,urban
Lancaster,36,22.3,0.45,urban
Lawrence,37,43.9,0.33,rural
Lebanon,38,12,-0.20,urban
Lehigh,39,38.3,0.17,urban
Luzerne,40,43.6,0.47,urban
Lycoming,41,29.3,0.36,rural
McKean,42,16.1,-0.13,rural
Mercer,43,26.6,0.72,rural
Mifflin,44,12.9,0.20,rural
Monroe,45,24.1,0.00,rural
Montgomery,46,28.8,0.51,urban
Montour,47,27.4,-0.38,rural
Northampton,48,23.5,-0.01,urban
Northumberland,49,0,0.69,rural
Perry,50,19.6,2.00,rural
Philadelphia,51,59.4,0.29,urban
Pike,52,17.4,0.43,rural
Potter,53,11.5,1.00,rural
Schuylkill,54,39.8,1.36,rural
Snyder,55,7.6,2.00,rural
Somerset,56,27,0.31,rural
Sullivan,57,15.6,0.00,rural
Susquehanna,58,18.5,0.33,rural
Tioga,59,14.3,1.00,rural
Union,60,15.6,2.50,rural
Venango,61,16.4,-0.18,rural
Warren,62,,,rural
Washington,63,51,0.45,rural
Wayne,64,32.2,-0.11,rural
Westmoreland,65,47.6,0.38,urban
Wyoming,66,24.8,0.00,rural
York,67,29.2,0.28,urban
