County Name,County Code Number,State FIPS Code,County FIPS Code,County Code,Latitude/Longitude,New Diagnoses HIV Disease Count,New Diagnoses HIV Disease Description,Prevalence HIV Disease Count ,Prevalence HIV Disease Description ,New Diagnoses HIV Disease Among IDU Count ,New Diagnoses HIV Disease Among IDU Description ,Prevalence HIV Disease Among IDU Count,Prevalence HIV Disease Among IDU Description,Year
Adams,1,42,001,01,"(39.8720956503, -77.2222427076)",5,Individuals with New Diagnoses HIV Disease,71,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,15,Individuals with  Prevalence HIV Disease Among IDU,2012
Adams,1,42,001,01,"(39.8720956503, -77.2222427076)",,Non Report. Suppressed count for Individuals New Diagnoses HIV Disease,72,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,15,Individuals with Prevalence HIV Disease Among IDU,2013
Adams,1,42,001,01,"(39.8720956503, -77.2222427076)",5,Individuals with New Diagnoses HIV Disease,75,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,15,Individuals with  Prevalence HIV Disease Among IDU,2014
Adams,1,42,001,01,"(39.8720956503, -77.2222427076)",,Non Report. Suppressed count for Individuals New Diagnoses HIV Disease,76,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,15,Individuals with  Prevalence HIV Disease Among IDU,2015
Adams,1,42,001,01,"(39.8720956503, -77.2222427076)",7,Individuals with New Diagnoses HIV Disease,83,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,15,Individuals with  Prevalence HIV Disease Among IDU,2016
Allegheny,2,42,003,02,"(40.4673554298, -79.9861984282)",128,Individuals with New Diagnoses HIV Disease,2709,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,328,Individuals with  Prevalence HIV Disease Among IDU,2014
Allegheny,2,42,003,02,"(40.4673554298, -79.9861984282)",127,Individuals with New Diagnoses HIV Disease,2910,Individuals with Prevalence HIV Disease,5,Individuals with New Diagnoses HIV Disease among IDU,328,Individuals with Prevalence HIV Disease Among IDU,2016
Allegheny,2,42,003,02,"(40.4673554298, -79.9861984282)",142,Individuals with New Diagnoses HIV Disease,2817,Individuals with Prevalence HIV Disease,10,Individuals with New Diagnoses HIV Disease among IDU,331,Individuals with  Prevalence HIV Disease Among IDU,2015
Allegheny,2,42,003,02,"(40.4673554298, -79.9861984282)",123,Individuals with New Diagnoses HIV Disease,2546,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,332,Individuals with  Prevalence HIV Disease Among IDU,2012
Allegheny,2,42,003,02,"(40.4673554298, -79.9861984282)",119,Individuals with New Diagnoses HIV Disease,2622,Individuals with Prevalence HIV Disease,8,Individuals with New Diagnoses HIV Disease among IDU,333,Individuals with Prevalence HIV Disease Among IDU,2013
Armstrong,3,42,005,03,"(40.8150952555, -79.4731689893)",,Non Report. Suppressed count for Individuals New Diagnoses HIV Disease,34,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,5,Individuals with  Prevalence HIV Disease Among IDU,2014
Armstrong,3,42,005,03,"(40.8150952555, -79.4731689893)",,Non Report. Suppressed count for Individuals New Diagnoses HIV Disease,34,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,5,Individuals with Prevalence HIV Disease Among IDU,2015
Armstrong,3,42,005,03,"(40.8150952555, -79.4731689893)",,Non Report. Suppressed count for Individuals New Diagnoses HIV Disease,33,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,6,Individuals with Prevalence HIV Disease Among IDU,2013
Armstrong,3,42,005,03,"(40.8150952555, -79.4731689893)",,Non Report. Suppressed count for Individuals New Diagnoses HIV Disease,34,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,7,Individuals with  Prevalence HIV Disease Among IDU,2012
Armstrong,3,42,005,03,"(40.8150952555, -79.4731689893)",,Non Report. Suppressed count for Individuals New Diagnoses HIV Disease,37,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,7,Individuals with Prevalence HIV Disease Among IDU,2016
Beaver,4,42,007,04,"(40.6834924548, -80.3510735648)",,Non Report. Suppressed count for Individuals New Diagnoses HIV Disease,108,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,12,Individuals with Prevalence HIV Disease Among IDU,2016
Beaver,4,42,007,04,"(40.6834924548, -80.3510735648)",,Non Report. Suppressed count for Individuals New Diagnoses HIV Disease,104,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,14,Individuals with  Prevalence HIV Disease Among IDU,2013
Beaver,4,42,007,04,"(40.6834924548, -80.3510735648)",5,Individuals with New Diagnoses HIV Disease,108,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,14,Individuals with Prevalence HIV Disease Among IDU,2014
Beaver,4,42,007,04,"(40.6834924548, -80.3510735648)",,Non Report. Suppressed count for Individuals New Diagnoses HIV Disease,110,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,14,Individuals with Prevalence HIV Disease Among IDU,2015
Beaver,4,42,007,04,"(40.6834924548, -80.3510735648)",6,Individuals with New Diagnoses HIV Disease,109,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,15,Individuals with Prevalence HIV Disease Among IDU,2012
Bedford,5,42,009,05,"(40.0073753643, -78.4911647381)",,Non Report. Suppressed count for Individuals New Diagnoses HIV Disease,21,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,,Non Report. Suppressed count for Prevalence HIV Disease Among IDU,2014
Bedford,5,42,009,05,"(40.0073753643, -78.4911647381)",,Non Report. Suppressed count for Individuals New Diagnoses HIV Disease,23,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,,Non Report. Suppressed count for Prevalence HIV Disease Among IDU,2013
Bedford,5,42,009,05,"(40.0073753643, -78.4911647381)",5,Individuals with New Diagnoses HIV Disease,23,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,,Non Report. Suppressed count for Prevalence HIV Disease Among IDU,2012
Bedford,5,42,009,05,"(40.0073753643, -78.4911647381)",5,Individuals with New Diagnoses HIV Disease,26,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,,Non Report. Suppressed count for Prevalence HIV Disease Among IDU,2015
Bedford,5,42,009,05,"(40.0073753643, -78.4911647381)",,Non Report. Suppressed count for Individuals New Diagnoses HIV Disease,28,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,,Non Report. Suppressed count for Prevalence HIV Disease Among IDU,2016
Berks,6,42,011,06,"(40.4193963513, -75.9307732705)",30,Individuals with New Diagnoses HIV Disease,1027,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,328,Individuals with Prevalence HIV Disease Among IDU,2016
Berks,6,42,011,06,"(40.4193963513, -75.9307732705)",29,Individuals with New Diagnoses HIV Disease,1009,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,332,Individuals with Prevalence HIV Disease Among IDU,2015
Berks,6,42,011,06,"(40.4193963513, -75.9307732705)",33,Individuals with New Diagnoses HIV Disease,987,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,334,Individuals with  Prevalence HIV Disease Among IDU,2014
Berks,6,42,011,06,"(40.4193963513, -75.9307732705)",34,Individuals with New Diagnoses HIV Disease,974,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,342,Individuals with Prevalence HIV Disease Among IDU,2013
Berks,6,42,011,06,"(40.4193963513, -75.9307732705)",40,Individuals with New Diagnoses HIV Disease,963,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,357,Individuals with  Prevalence HIV Disease Among IDU,2012
Blair,7,42,013,07,"(40.4855502384, -78.349076871)",5,Individuals with New Diagnoses HIV Disease,75,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,7,Individuals with  Prevalence HIV Disease Among IDU,2014
Blair,7,42,013,07,"(40.4855502384, -78.349076871)",5,Individuals with New Diagnoses HIV Disease,78,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,7,Individuals with Prevalence HIV Disease Among IDU,2015
Blair,7,42,013,07,"(40.4855502384, -78.349076871)",5,Individuals with New Diagnoses HIV Disease,82,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,7,Individuals with  Prevalence HIV Disease Among IDU,2016
Blair,7,42,013,07,"(40.4855502384, -78.349076871)",,Non Report. Suppressed count for Individuals New Diagnoses HIV Disease,75,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,9,Individuals with Prevalence HIV Disease Among IDU,2012
Blair,7,42,013,07,"(40.4855502384, -78.349076871)",,Non Report. Suppressed count for Individuals New Diagnoses HIV Disease,75,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,9,Individuals with  Prevalence HIV Disease Among IDU,2013
Bradford,8,42,015,08,"(41.7911781401, -76.5182562384)",,Non Report. Suppressed count for Individuals New Diagnoses HIV Disease,36,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,,Non Report. Suppressed count for Prevalence HIV Disease Among IDU,2015
Bradford,8,42,015,08,"(41.7911781401, -76.5182562384)",,Non Report. Suppressed count for Individuals New Diagnoses HIV Disease,37,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,,Non Report. Suppressed count for Prevalence HIV Disease Among IDU,2014
Bradford,8,42,015,08,"(41.7911781401, -76.5182562384)",5,Individuals with New Diagnoses HIV Disease,39,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,,Non Report. Suppressed count for Prevalence HIV Disease Among IDU,2016
Bradford,8,42,015,08,"(41.7911781401, -76.5182562384)",,Non Report. Suppressed count for Individuals New Diagnoses HIV Disease,39,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,5,Individuals with  Prevalence HIV Disease Among IDU,2012
Bradford,8,42,015,08,"(41.7911781401, -76.5182562384)",,Non Report. Suppressed count for Individuals New Diagnoses HIV Disease,39,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,5,Individuals with Prevalence HIV Disease Among IDU,2013
Bucks,9,42,017,09,"(40.335011331, -75.1129124111)",24,Individuals with New Diagnoses HIV Disease,808,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,126,Individuals with  Prevalence HIV Disease Among IDU,2015
Bucks,9,42,017,09,"(40.335011331, -75.1129124111)",19,Individuals with New Diagnoses HIV Disease,819,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,126,Individuals with Prevalence HIV Disease Among IDU,2016
Bucks,9,42,017,09,"(40.335011331, -75.1129124111)",30,Individuals with New Diagnoses HIV Disease,793,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,128,Individuals with  Prevalence HIV Disease Among IDU,2014
Bucks,9,42,017,09,"(40.335011331, -75.1129124111)",43,Individuals with New Diagnoses HIV Disease,748,Individuals with Prevalence HIV Disease,6,Individuals with New Diagnoses HIV Disease among IDU,129,Individuals with Prevalence HIV Disease Among IDU,2012
Bucks,9,42,017,09,"(40.335011331, -75.1129124111)",37,Individuals with New Diagnoses HIV Disease,776,Individuals with Prevalence HIV Disease,5,Individuals with New Diagnoses HIV Disease among IDU,131,Individuals with Prevalence HIV Disease Among IDU,2013
Butler,10,42,019,10,"(40.9108318483, -79.9171177889)",,Non Report. Suppressed count for Individuals New Diagnoses HIV Disease,74,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,10,Individuals with Prevalence HIV Disease Among IDU,2012
Butler,10,42,019,10,"(40.9108318483, -79.9171177889)",,Non Report. Suppressed count for Individuals New Diagnoses HIV Disease,75,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,10,Individuals with  Prevalence HIV Disease Among IDU,2013
Butler,10,42,019,10,"(40.9108318483, -79.9171177889)",,Non Report. Suppressed count for Individuals New Diagnoses HIV Disease,78,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,10,Individuals with Prevalence HIV Disease Among IDU,2014
Butler,10,42,019,10,"(40.9108318483, -79.9171177889)",,Non Report. Suppressed count for Individuals New Diagnoses HIV Disease,85,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,11,Individuals with Prevalence HIV Disease Among IDU,2016
Butler,10,42,019,10,"(40.9108318483, -79.9171177889)",7,Individuals with New Diagnoses HIV Disease,84,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,12,Individuals with Prevalence HIV Disease Among IDU,2015
Cambria,11,42,021,11,"(40.4912749067, -78.7189417385)",,Non Report. Suppressed count for Individuals New Diagnoses HIV Disease,128,Individuals with Prevalence HIV Disease,,Non Report. Suppressed count for New Diagnoses HIV Disease among IDU,32,Individuals with Prevalence HIV Disease Among IDU,2016
