State Name,FIPS State Code,Calendar Year,Calendar Month,Month Name,Date,County Code,FIPS County Code,County Name,MA Individuals,MA Children,State Fiscal Year
PA,42,2003,7,July,7/1/2003 0:00,0,0,Statewide,1568331,794109,FY 2003-2004
PA,42,2003,8,August,8/1/2003 0:00,0,0,Statewide,1583604,802259,FY 2003-2004
PA,42,2003,9,September,9/1/2003 0:00,0,0,Statewide,1593909,806974,FY 2003-2004
PA,42,2003,10,October,10/1/2003 0:00,0,0,Statewide,1598428,808106,FY 2003-2004
PA,42,2003,11,November,11/1/2003 0:00,0,0,Statewide,1606559,812324,FY 2003-2004
PA,42,2003,12,December,12/1/2003 0:00,0,0,Statewide,1599837,808300,FY 2003-2004
PA,42,2004,1,January,1/1/2004 0:00,0,0,Statewide,1619962,818673,FY 2003-2004
PA,42,2004,2,February,2/1/2004 0:00,0,0,Statewide,1633543,824538,FY 2003-2004
PA,42,2004,3,March,3/1/2004 0:00,0,0,Statewide,1646213,829877,FY 2003-2004
PA,42,2004,4,April,4/1/2004 0:00,0,0,Statewide,1655202,834485,FY 2003-2004
PA,42,2004,5,May,5/1/2004 0:00,0,0,Statewide,1681510,848421,FY 2003-2004
PA,42,2004,6,June,6/1/2004 0:00,0,0,Statewide,1675709,844226,FY 2003-2004
PA,42,2004,7,July,7/1/2004 0:00,0,0,Statewide,1695805,854697,FY 2004-2005
PA,42,2004,8,August,8/1/2004 0:00,0,0,Statewide,1713023,863598,FY 2004-2005
PA,42,2004,9,September,9/1/2004 0:00,0,0,Statewide,1714467,863606,FY 2004-2005
PA,42,2004,10,October,10/1/2004 0:00,0,0,Statewide,1730171,870954,FY 2004-2005
PA,42,2004,11,November,11/1/2004 0:00,0,0,Statewide,1737462,874967,FY 2004-2005
PA,42,2004,12,December,12/1/2004 0:00,0,0,Statewide,1737227,874682,FY 2004-2005
PA,42,2005,1,January,1/1/2005 0:00,0,0,Statewide,1754796,883452,FY 2004-2005
PA,42,2005,2,February,2/1/2005 0:00,0,0,Statewide,1756741,884092,FY 2004-2005
PA,42,2005,3,March,3/1/2005 0:00,0,0,Statewide,1767771,889965,FY 2004-2005
PA,42,2005,4,April,4/1/2005 0:00,0,0,Statewide,1783183,898263,FY 2004-2005
PA,42,2005,5,May,5/1/2005 0:00,0,0,Statewide,1794043,904904,FY 2004-2005
PA,42,2005,6,June,6/1/2005 0:00,0,0,Statewide,1786685,901530,FY 2004-2005
PA,42,2005,7,July,7/1/2005 0:00,0,0,Statewide,1791598,903826,FY 2005-2006
PA,42,2005,8,August,8/1/2005 0:00,0,0,Statewide,1805225,910408,FY 2005-2006
PA,42,2005,9,September,9/1/2005 0:00,0,0,Statewide,1805502,910200,FY 2005-2006
PA,42,2005,10,October,10/1/2005 0:00,0,0,Statewide,1821871,918334,FY 2005-2006
PA,42,2005,11,November,11/1/2005 0:00,0,0,Statewide,1814104,913799,FY 2005-2006
PA,42,2005,12,December,12/1/2005 0:00,0,0,Statewide,1822722,919396,FY 2005-2006
PA,42,2006,1,January,1/1/2006 0:00,0,0,Statewide,1832035,925401,FY 2005-2006
PA,42,2006,2,February,2/1/2006 0:00,0,0,Statewide,1830889,926280,FY 2005-2006
PA,42,2006,3,March,3/1/2006 0:00,0,0,Statewide,1853985,941334,FY 2005-2006
PA,42,2006,4,April,4/1/2006 0:00,0,0,Statewide,1871778,954129,FY 2005-2006
PA,42,2006,5,May,5/1/2006 0:00,0,0,Statewide,1878145,960254,FY 2005-2006
PA,42,2006,6,June,6/1/2006 0:00,0,0,Statewide,1877364,962727,FY 2005-2006
PA,42,2006,7,July,7/1/2006 0:00,0,0,Statewide,1880983,967070,FY 2006-2007
PA,42,2006,8,August,8/1/2006 0:00,0,0,Statewide,1893364,975939,FY 2006-2007
PA,42,2006,9,September,9/1/2006 0:00,0,0,Statewide,1888814,972697,FY 2006-2007
PA,42,2006,10,October,10/1/2006 0:00,0,0,Statewide,1891539,973495,FY 2006-2007
PA,42,2006,11,November,11/1/2006 0:00,0,0,Statewide,1874432,964626,FY 2006-2007
PA,42,2006,12,December,12/1/2006 0:00,0,0,Statewide,1871952,963098,FY 2006-2007
PA,42,2007,1,January,1/1/2007 0:00,0,0,Statewide,1873546,964040,FY 2006-2007
PA,42,2007,2,February,2/1/2007 0:00,0,0,Statewide,1868867,960986,FY 2006-2007
PA,42,2007,3,March,3/1/2007 0:00,0,0,Statewide,1893569,974795,FY 2006-2007
PA,42,2007,4,April,4/1/2007 0:00,0,0,Statewide,1892051,973519,FY 2006-2007
PA,42,2007,5,May,5/1/2007 0:00,0,0,Statewide,1886836,969793,FY 2006-2007
PA,42,2007,6,June,6/1/2007 0:00,0,0,Statewide,1887649,969907,FY 2006-2007
PA,42,2007,7,July,7/1/2007 0:00,0,0,Statewide,1895525,975708,FY 2007-2008
PA,42,2007,8,August,8/1/2007 0:00,0,0,Statewide,1902307,979142,FY 2007-2008
PA,42,2007,9,September,9/1/2007 0:00,0,0,Statewide,1909992,982902,FY 2007-2008
PA,42,2007,10,October,10/1/2007 0:00,0,0,Statewide,1909492,980506,FY 2007-2008
PA,42,2007,11,November,11/1/2007 0:00,0,0,Statewide,1890567,969616,FY 2007-2008
PA,42,2007,12,December,12/1/2007 0:00,0,0,Statewide,1893949,970816,FY 2007-2008
PA,42,2008,1,January,1/1/2008 0:00,0,0,Statewide,1894194,970072,FY 2007-2008
PA,42,2008,2,February,2/1/2008 0:00,0,0,Statewide,1898153,970689,FY 2007-2008
PA,42,2008,3,March,3/1/2008 0:00,0,0,Statewide,1936114,988794,FY 2007-2008
