Name, 2018 Population ,Growth Since 2010,county.code
Adams,102336,0.859418119,1
Allegheny,1223048,-0.069368582,2
Armstrong,65642,-4.673250073,3
Beaver,166140,-2.641695185,4
Bedford,48480,-2.437061037,5
Berks,417854,1.423581698,6
Blair,123457,-2.812721404,7
Bradford,60853,-2.982909253,8
Bucks,628341,0.465279144,9
Butler,187108,1.64272832,10
Cambria,133054,-7.248417589,11
Cameron,4592,-9.481569091,12
Carbon,63853,-2.145495226,13
Centre,162660,5.431682655,14
Chester,519293,3.875220035,15
Clarion,38458,-3.679214567,16
Clearfield,79685,-2.244985585,17
Clinton,38998,-0.626847416,18
Columbia,65932,-2.103965909,19
Crawford,86159,-2.789091853,20
Cumberland,250066,6.006435012,21
Dauphin,275710,2.788268321,22
Delaware,564696,1.036856259,23
Elk,30197,-5.178044338,24
Erie,274541,-2.220283145,25
Fayette,131504,-3.617001004,26
Forest,7297,-5.368953443,27
Franklin,154234,2.870672981,28
Fulton,14590,-1.915966387,29
Greene,36770,-4.731060213,30
Huntingdon,45491,-1.168828347,31
Indiana,84953,-4.406485951,32
Jefferson,43804,-3.006952748,33
Juniata,24514,-0.442675547,34
Lackawanna,210761,-1.759611441,35
Lancaster,542903,4.342820681,36
Lawrence,87069,-4.293487222,37
Lebanon,139754,4.584368546,38
Lehigh,366494,4.663529089,39
Luzerne,317343,-1.141100166,40
Lycoming,113841,-2.037707923,41
McKean,41330,-4.622343249,42
Mercer,111750,-4.172669274,43
Mifflin,46388,-0.527512116,44
Monroe,168046,-1.077256352,45
Montgomery,826075,3.132908271,46
Montour,18272,-0.185731454,47
Northampton,303405,1.833920139,48
Northumberland,92029,-2.435171639,49
Perry,46127,0.319704219,50
Philadelphia,1580863,3.441274486,51
Pike,55691,-2.982422521,52
Potter,16802,-3.779635781,53
Schuylkill,142569,-3.8430669,54
Snyder,40801,2.773299748,55
Somerset,74501,-4.216968154,56
Sullivan,6089,-4.91880075,57
Susquehanna,40985,-5.512264847,58
Tioga,40793,-2.809015534,59
Union,44595,-0.877972883,60
Venango,51762,-5.841049242,61
Warren,39659,-5.065230401,62
Washington,207298,-0.299633034,63
Wayne,51205,-3.048376408,64
Westmoreland,352627,-3.425317829,65
Wyoming,27322,-3.2130079,66
York,446078,2.446339906,67
