County Name,Rate or Count,Type of Drug Class,Type of Rate or Count Measure,Time Measure,Year,Time Period,Quarter Date Start,County Code Number,County Code Text,State FIPS Code,County FIPS Code,Latitude/Longitude
ADAMS,140.0763359,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,1,1,42,1,"(39.8720956503, -77.2222427076)"
ALLEGHENY,302.1744541,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,2,2,42,3,"(40.4673554298, -79.9861984282)"
ARMSTRONG,239.9753332,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,3,3,42,5,"(40.8150952555, -79.4731689893)"
BEAVER,272.2407707,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,4,4,42,7,"(40.6834924548, -80.3510735648)"
BEDFORD,171.2157268,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,5,5,42,9,"(40.0073753643, -78.4911647381)"
BERKS,161.0826109,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,6,6,42,11,"(40.4193963513, -75.9307732705)"
BLAIR,372.531087,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,7,7,42,13,"(40.4855502384, -78.349076871)"
BRADFORD,230.1958203,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,8,8,42,15,"(41.7911781401, -76.5182562384)"
BUCKS,192.3342789,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,9,9,42,17,"(40.335011331, -75.1129124111)"
BUTLER,255.4710539,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,10,10,42,19,"(40.9108318483, -79.9171177889)"
CAMBRIA,313.4593118,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,11,11,42,21,"(40.4912749067, -78.7189417385)"
CAMERON,246.097926,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,7/1/2016,12,12,42,23,"(41.4388026531, -78.2091693241)"
