county,NdropoutsSY16,DropoutRateSY16,county.code
Adams,64,0.006,1
Allegheny,467,0.012,2
Armstrong,47,0.020,3
Beaver,967,0.008,4
Bedford,44,0.009,5
Berks,543,0.015,6
Blair,108,0.027,7
Bradford,46,0.008,8
Bucks,240,0.007,9
Butler,92,0.076,10
Cambria,41,0.021,11
Cameron,5,0.009,12
Carbon,35,0.021,13
Centre,38,0.003,14
Chester,429,0.027,15
Clarion,30,0.006,16
Clearfield,91,0.010,17
Clinton,22,0.004,18
Columbia,91,0.093,19
Crawford,37,0.015,20
Cumberland,117,0.020,21
Dauphin,455,0.031,22
Delaware,286,0.008,23
Elk,24,0.011,24
Erie,358,0.042,25
Fayette,108,0.039,26
Forest,2,0.006,27
Franklin,166,0.009,28
Fulton,8,0.010,29
Greene,17,0.012,30
Huntingdon,42,0.022,31
Indiana,48,0.012,32
Jefferson,25,0.007,33
Juniata,10,0.006,34
Lackawanna,228,0.021,35
Lancaster,337,0.057,36
Lawrence,45,0.008,37
Lebanon,126,0.030,38
Lehigh,431,0.033,39
Luzerne,454,0.102,40
Lycoming,86,0.038,41
McKean,35,0.012,42
Mercer,83,0.010,43
Mifflin,39,0.011,44
Monroe,124,0.005,45
Montgomery,816,0.017,46
Montour,6,0.005,47
Northampton,269,0.014,48
Northumberland,91,0.009,49
Perry,23,0.024,50
Philadelphia,4388,0.034,51
Pike,30,0.004,52
Potter,9,0.005,53
Schuylkill,134,0.035,54
Snyder,27,0.039,55
Somerset,38,0.006,56
Sullivan,2,0.007,57
Susquehanna,27,0.008,58
Tioga,28,0.010,59
Union,12,0.004,60
Venango,41,0.089,61
Warren,36,0.010,62
Washington,81,0.026,63
Wayne,25,0.075,64
Westmoreland,193,0.012,65
Wyoming,12,0.004,66
York,504,0.040,67
