county,rate,county.code
ADAMS,24.6,1
ALLEGHENY,16.4,2
ARMSTRONG,39.2,3
BEAVER,7.1,4
BEDFORD,29.2,5
BERKS,10.8,6
BLAIR,18.3,7
BRADFORD,30.2,8
BUCKS,11.7,9
BUTLER,12.7,10
CAMBRIA,38.9,11
CAMERON,15.3,12
CARBON,16.5,13
CENTRE,20.5,14
CHESTER,5.2,15
CLARION,46.7,16
CLEARFIELD,37.9,17
CLINTON,52,18
COLUMBIA,85,19
CRAWFORD,43.2,20
CUMBERLAND,24.9,21
DAUPHIN,28.1,22
DELAWARE,11.3,23
ELK,7.6,24
ERIE,31.1,25
FAYETTE,31,26
FOREST,65.5,27
FRANKLIN,33.5,28
FULTON,26.4,29
GREENE,38,30
HUNTINGDON,45.8,31
INDIANA,20.7,32
JEFFERSON,24.2,33
JUNIATA,34.3,34
LACKAWANNA,39.5,35
LANCASTER,7.5,36
LAWRENCE,7.9,37
LEBANON,4.8,38
LEHIGH,10.7,39
LUZERNE,13.2,40
LYCOMING,22.6,41
MCKEAN,39.7,42
MERCER,41.6,43
MIFFLIN,52.2,44
MONROE,13.5,45
MONTGOMERY,4.7,46
MONTOUR,1.3,47
NORTHAMPTON,19.5,48
NORTHUMBERLAND,99.6,49
PERRY,37.2,50
PHILADELPHIA,21.5,51
PIKE,8.5,52
POTTER,30.3,53
SCHUYLKILL,35.5,54
SNYDER,24.3,55
SOMERSET,26.9,56
SULLIVAN,53.9,57
SUSQUEHANNA,11.3,58
TIOGA,62.8,59
UNION,23.3,60
VENANGO,46.3,61
WARREN,16,62
WASHINGTON,23.7,63
WAYNE,33.2,64
WESTMORELAND,19.1,65
WYOMING,21.1,66
YORK,32.9,67
